BARCAŚ	(.|#|)bartsaS(.|#|)
KORODĚROWAŚ	(.|#|)kOrOdjirowaS(.|#|)
KORONA	(.|#|)kOrOna(.|#|)
KOROZIJA	(.|#|)kOrOzija(.|#|)
KOROZIWNY	(.|#|)kOrOziun1(.|#|)
KORPORACIJA	(.|#|)kOrpOratsija(.|#|)
KORPORAL	(.|#|)kOrpOral(.|#|)
KORPORATIWNJE	(.|#|)kOrpOratiun(j|)E(.|#|)
KORPORATIWNY	(.|#|)kOrpOratiun1(.|#|)
KORPORĚROWANY	(.|#|)kOrpOrjirOwan1(.|#|)
KORPORĚROWANY	(.|#|)kOrpOrjirowan1(.|#|)
KORPS	(.|#|)kOrps(.|#|)
KORPSOWYMA	(.|#|)kOrpsOw1ma(.|#|)
KORPSOWYMA	(.|#|)kOrpsow1ma(.|#|)
KORPULENCA	(.|#|)kOrpulEntsa(.|#|)
KORPUS	(.|#|)kOrpus(.|#|)
KORPUSKEL	(.|#|)kOrpuskEl(.|#|)
KORSA	(.|#|)kOrsa(.|#|)
KORSAR	(.|#|)kOrsar(.|#|)
KORSAŔ	(.|#|)kOrsar(.|#|)
KORSAŽA	(.|#|)kOrsaZa(.|#|)
KORSELET	(.|#|)kOrsElEt(.|#|)
KORSET	(.|#|)kOrsEt(.|#|)
KORSETOJU	(.|#|)kOrsEtOju(.|#|)
KORSIKA	(.|#|)kOrsika(.|#|)
KORSIKARKA	(.|#|)kOrsikarka(.|#|)
KORSIKAŔ	(.|#|)kOrsikar(.|#|)
KORSISKI	(.|#|)kOrsiski(.|#|)
KORSO	(.|#|)kOrsO(.|#|)
KORSOWKA	(.|#|)kOrsOuka(.|#|)
KORSOWKA	(.|#|)kOrsouka(.|#|)
KORSY	(.|#|)kOrs1(.|#|)
KORTISON	(.|#|)kOrtisOn(.|#|)
KORUMPĚROWACH	(.|#|)kOrumpjirOwax(.|#|)
KORUMPĚROWACH	(.|#|)kOrumpjirowax(.|#|)
KORUMPĚROWAŚ	(.|#|)kOrumpjirOwaS(.|#|)
KORUMPĚROWAŚ	(.|#|)kOrumpjirowaS(.|#|)
KORUPCISKEMU	(.|#|)kOruptsiskEmu(.|#|)
KORUPTNEJE	(.|#|)kOruptnejE(.|#|)
KORUTAŃSKI	(.|#|)kOrutajnski(.|#|)
KORWETA	(.|#|)kOrwEta(.|#|)
KORWETACH	(.|#|)kOrwEtax(.|#|)
KORYFEJA	(.|#|)kOr1feja(.|#|)
KORYNTKA	(.|#|)kOr1ntka(.|#|)
KORŹE	(.|#|)kOrZE(.|#|)
KOSINUS	(.|#|)kOsinus(.|#|)
KOSMETIKA	(.|#|)kOsmEtika(.|#|)
KOSMETIKARKA	(.|#|)kOsmEtikarka(.|#|)
KOSMETIKAŔ	(.|#|)kOsmEtikar(.|#|)
KOSMETIKUM	(.|#|)kOsmEtikum(.|#|)
KOSMETISKI	(.|#|)kOsmEtiski(.|#|)
KOSMISKI	(.|#|)kOsmiski(.|#|)
KOSMOGONIJA	(.|#|)kOsmOgOnija(.|#|)
KOSMOLOGIJA	(.|#|)kOsmOlOgija(.|#|)
KOSMOLOGIJAM	(.|#|)kOsmOlOgijam(.|#|)
KOSMOLOGISKI	(.|#|)kOsmOlOgiski(.|#|)
KOSMONAWT	(.|#|)kOsmOnaut(.|#|)
KOSMONAWTKA	(.|#|)kOsmOnautka(.|#|)
KOSMOPOLIT	(.|#|)kOsmOpOlit(.|#|)
KOSMOPOLITISKI	(.|#|)kOsmOpOlitiski(.|#|)
KOSMOS	(.|#|)kOsmOs(.|#|)
KOSOWARJOWU	(.|#|)kOsOwarjOwu(.|#|)
KOSOWARJOWU	(.|#|)kOsowarjowu(.|#|)
KOSOWARKA	(.|#|)kOsOwarka(.|#|)
KOSOWARKA	(.|#|)kOsowarka(.|#|)
KOSOWOALBANAŔ	(.|#|)kOsOwOalbanar(.|#|)
KOSOWOALBANAŔ	(.|#|)kOsowOalbanar(.|#|)
KOSOWOALBAŃSKI	(.|#|)kOsOwOalbajnski(.|#|)
KOSOWOALBAŃSKI	(.|#|)kOsowOalbajnski(.|#|)
KOST	(.|#|)kOst(.|#|)
KOSTARIKANAŔ	(.|#|)kOstarikanar(.|#|)
KOSTARIKAŃSKI	(.|#|)kOstarikajnski(.|#|)
KOSTIMARKA	(.|#|)kOstimarka(.|#|)
KOSTIMĚROWANJE	(.|#|)kOstimjirOwan(j|)E(.|#|)
KOSTIMĚROWANJE	(.|#|)kOstimjirowan(j|)E(.|#|)
KOSTIMĚROWAŚ	(.|#|)kOstimjirOwaS(.|#|)
KOSTIMĚROWAŚ	(.|#|)kOstimjirowaS(.|#|)
KOSTY	(.|#|)kOst1(.|#|)
KOSYSTEM	(.|#|)kOs1stEm(.|#|)
KOTANGENS	(.|#|)kOtangEns(.|#|)
KOTELET	(.|#|)kOtElEt(.|#|)
KOTĚROWAŚ	(.|#|)kOtjirOwaS(.|#|)
KOTĚROWAŚ	(.|#|)kOtjirowaS(.|#|)
KOW	(.|#|)kO(.|#|)
KOW	(.|#|)ko(.|#|)
KOWALOWAŁO	(.|#|)kOwalOwawO(.|#|)
KOWALOWAŁO	(.|#|)kowalowawO(.|#|)
KOWALOWAŚ	(.|#|)kOwalOwaS(.|#|)
KOWALOWAŚ	(.|#|)kowalowaS(.|#|)
KOWALSKICH	(.|#|)kOwalskix(.|#|)
KOWALSKICH	(.|#|)kowalskiC(.|#|)
KOWANY	(.|#|)kOwan1(.|#|)
KOWANY	(.|#|)kowan1(.|#|)
KOWAŚ	(.|#|)kOwaS(.|#|)
KOWAŚ	(.|#|)kowaS(.|#|)
KOWICOMA	(.|#|)kOwitsOma(.|#|)
KOWICOMA	(.|#|)kowitsOma(.|#|)
KOZAK	(.|#|)kOzak(.|#|)
KOČMARJU	(.|#|)kOtSmarju(.|#|)
KOČMAŔ	(.|#|)kOtSmar(.|#|)
KOŁ	(.|#|)kO(.|#|)
KOŁ	(.|#|)ko(.|#|)
KOŁAC	(.|#|)kOwats(.|#|)
KOŁAC	(.|#|)kowats(.|#|)
KOŁACK	(.|#|)kOwatsk(.|#|)
KOŁACK	(.|#|)kowatsk(.|#|)
KOŁC	(.|#|)kOuts(.|#|)
KOŁC	(.|#|)kouts(.|#|)
KOŁCOJU	(.|#|)kOutsOju(.|#|)
KOŁCOJU	(.|#|)koutsOju(.|#|)
KOŁK	(.|#|)kOuk(.|#|)
KOŁK	(.|#|)kouk(.|#|)
KOŁKONJENJAM	(.|#|)kOukOn(j|)Enjam(.|#|)
KOŁKONJENJAM	(.|#|)koukOn(j|)Enjam(.|#|)
KOŁKOWAŚ	(.|#|)kOukOwaS(.|#|)
KOŁKOWAŚ	(.|#|)koukowaS(.|#|)
KOŁKOŃMY	(.|#|)kOukOjnm1(.|#|)
KOŁKOŃMY	(.|#|)koukOjnmU(.|#|)
KOŁKUJUCEJ	(.|#|)kOukujutsej(.|#|)
KOŁKUJUCEJ	(.|#|)koukujutsej(.|#|)
KOŁNEM	(.|#|)kOunEm(.|#|)
KOŁNEM	(.|#|)kounEm(.|#|)
KOŁOBĚG	(.|#|)kOwObjig(.|#|)
KOŁOBĚG	(.|#|)kowObjig(.|#|)
KOŁOBĚGOJU	(.|#|)kOwObjigOju(.|#|)
KOŁOBĚGOJU	(.|#|)kowObjigOju(.|#|)
KOŁODIAGRAMOW	(.|#|)kOwOdiagramO(.|#|)
KOŁODIAGRAMOW	(.|#|)kowOdiagramo(.|#|)
KOŁOJĚZD	(.|#|)kOwOjjizt(.|#|)
KOŁOJĚZD	(.|#|)kowOjjizt(.|#|)
KOŁOJĚZDNEJU	(.|#|)kOwOjjizdneju(.|#|)
KOŁOJĚZDNEJU	(.|#|)kowOjjizdneju(.|#|)
KOŁOWOKOŁO	(.|#|)kOwOwOkOwO(.|#|)
KOŁOWOKOŁO	(.|#|)kowowOkowO(.|#|)
KOŁOWROT	(.|#|)kOwOurOt(.|#|)
KOŁOWROT	(.|#|)kowourOt(.|#|)
KOŁOWROTNOWAŚ	(.|#|)kOwOurOtnOwaS(.|#|)
KOŁOWROTNOWAŚ	(.|#|)kowourOtnowaS(.|#|)
KOŁOWROTNUJUCA	(.|#|)kOwOurOtnujutsa(.|#|)
KOŁOWROTNUJUCA	(.|#|)kowourOtnujutsa(.|#|)
KOŁOWROTNY	(.|#|)kOwOurOtn1(.|#|)
KOŁOWROTNY	(.|#|)kowourOtn1(.|#|)
KOŁOŹEJARNJU	(.|#|)kOwOZejarnju(.|#|)
KOŁOŹEJARNJU	(.|#|)kowOZejarnju(.|#|)
KOŁOŹEJAŔNJU	(.|#|)kOwOZejarnju(.|#|)
KOŁOŹEJAŔNJU	(.|#|)kowOZejarnju(.|#|)
KOŁP	(.|#|)kOup(.|#|)
KOŁP	(.|#|)koup(.|#|)
KOŁPJAM	(.|#|)kOupjam(.|#|)
KOŁPJAM	(.|#|)koupjam(.|#|)
KOŁPJOMA	(.|#|)kOupjOma(.|#|)
KOŁPJOMA	(.|#|)koupjOma(.|#|)
KOŁPJU	(.|#|)kOupju(.|#|)
KOŁPJU	(.|#|)koupju(.|#|)
KOŁUŠKAMI	(.|#|)kOwuSkami(.|#|)
KOŁUŠKAMI	(.|#|)kowuSkami(.|#|)
KOŁWROTNEJ	(.|#|)kOuwrOtnej(.|#|)
KOŁWROTNEJ	(.|#|)kouwrOtnej(.|#|)
KOŁWROTNY	(.|#|)kOuwrOtn1(.|#|)
KOŁWROTNY	(.|#|)kouwrOtn1(.|#|)
KOŁWROTNYCH	(.|#|)kOuwrOtn1x(.|#|)
KOŁWROTNYCH	(.|#|)kouwrOtn1x(.|#|)
KOŁYŠKOW	(.|#|)kOw1SkO(.|#|)
KOŁYŠKOW	(.|#|)kow1Sko(.|#|)
KOŃCKATEM	(.|#|)kOjntskatEm(.|#|)
KOŠERNEM	(.|#|)kOSErnEm(.|#|)
KOŠERNY	(.|#|)kOSErn1(.|#|)
KOŠERSKI	(.|#|)kOSErski(.|#|)
KOŠERSKIMA	(.|#|)kOSErskima(.|#|)
KOŠLE	(.|#|)kOSlE(.|#|)
KOŠLI	(.|#|)kOSli(.|#|)
KOŠLOWU	(.|#|)kOSlOwu(.|#|)
KOŠLOWU	(.|#|)kOSlowu(.|#|)
KOŠLU	(.|#|)kOSlu(.|#|)
KOŠTY	(.|#|)kOSt1(.|#|)
KOŹE	(.|#|)kOZE(.|#|)
KRABA	(.|#|)kraba(.|#|)
KRACKOWANJE	(.|#|)kratskOwan(j|)E(.|#|)
KRACKOWANJE	(.|#|)kratskowan(j|)E(.|#|)
KRAD	(.|#|)krat(.|#|)
KRADJĚZDŹARKA	(.|#|)kradjjizdZarka(.|#|)
KRADJĚZDŹAŔKA	(.|#|)kradjjizdZarka(.|#|)
KRADNJE	(.|#|)kradn(j|)E(.|#|)
KRADNOSĆ	(.|#|)kradnOstS(.|#|)
KRADNOSĆ	(.|#|)kradnOStS(.|#|)
KRADNOSĆOWU	(.|#|)kradnOstSOwu(.|#|)
KRADNOSĆOWU	(.|#|)kradnOStSowu(.|#|)
KRADNY	(.|#|)kradn1(.|#|)
KRADOSĆARJEJU	(.|#|)kradOstSar(j|)eju(.|#|)
KRADOSĆARJEJU	(.|#|)kradOStSar(j|)eju(.|#|)
KRADOSĆIWOSĆ	(.|#|)kradOstSiwOstS(.|#|)
KRADOSĆIWOSĆ	(.|#|)kradOStSiwOStS(.|#|)
KRADOSĆIWY	(.|#|)kradOstSiw1(.|#|)
KRADOSĆIWY	(.|#|)kradOStSiw1(.|#|)
KRADUČKEJ	(.|#|)kradutSkej(.|#|)
KRADUČKI	(.|#|)kradutSki(.|#|)
KRADŠEGO	(.|#|)kratSEgO(.|#|)
KRAGA	(.|#|)kraga(.|#|)
KRAGATY	(.|#|)kragat1(.|#|)
KRAGOMA	(.|#|)kragOma(.|#|)
KRAJ	(.|#|)kraj(.|#|)
KRAJAŃSKA	(.|#|)krajajnska(.|#|)
KRAJIKI	(.|#|)krajiki(.|#|)
KRAJIKOWU	(.|#|)krajikOwu(.|#|)
KRAJIKOWU	(.|#|)krajikowu(.|#|)
KRAJIKU	(.|#|)krajiku(.|#|)
KRAJINOMA	(.|#|)krajinOma(.|#|)
KRAJINOWY	(.|#|)krajinOw1(.|#|)
KRAJINOWY	(.|#|)krajinow1(.|#|)
KRAJN	(.|#|)krajn(.|#|)
KRAJNA	(.|#|)krajna(.|#|)
KRAJNARKA	(.|#|)krajnarka(.|#|)
KRAJNARKI	(.|#|)krajnarki(.|#|)
KRAJNAŔKI	(.|#|)krajnarki(.|#|)
KRAJNKA	(.|#|)krajnka(.|#|)
KRAJNKI	(.|#|)krajnki(.|#|)
KRAJNOCERKWINSKEMU	(.|#|)krajnOtsErkwinskEmu(.|#|)
KRAJNOKRIMINALNEMU	(.|#|)krajnOkriminalnEmu(.|#|)
KRAJNOSTAWSKI	(.|#|)krajnOstauski(.|#|)
KRAJNSKEJU	(.|#|)krajnskeju(.|#|)
KRAJOKNĚSKEJE	(.|#|)krajOknjiskejE(.|#|)
KRAJOKNĚSKI	(.|#|)krajOknjiski(.|#|)
KRAJOPISOJU	(.|#|)krajOpisOju(.|#|)
KRAJOWY	(.|#|)krajOw1(.|#|)
KRAJOWY	(.|#|)krajow1(.|#|)
KRAJOWYMA	(.|#|)krajOw1ma(.|#|)
KRAJOWYMA	(.|#|)krajow1ma(.|#|)
KRAJOWĚDA	(.|#|)krajOujida(.|#|)
KRAJOWĚDA	(.|#|)krajoujida(.|#|)
KRAJOWĚDNY	(.|#|)krajOujidn1(.|#|)
KRAJOWĚDNY	(.|#|)krajoujidn1(.|#|)
KRAJOWĚDNYM	(.|#|)krajOujidn1m(.|#|)
KRAJOWĚDNYM	(.|#|)krajoujidn1m(.|#|)
KRAJROZMĚRJARJA	(.|#|)krajrOzmjirjarja(.|#|)
KRAJROZMĚRJARKA	(.|#|)krajrOzmjirjarka(.|#|)
KRAJROZMĚRJAŔ	(.|#|)krajrOzmjirjar(.|#|)
KRAJSTWOWEJU	(.|#|)krajstwOweju(.|#|)
KRAJSTWOWEJU	(.|#|)krajstwoweju(.|#|)
KRAJŃSKEJE	(.|#|)krajjnskejE(.|#|)
KRAKA	(.|#|)kraka(.|#|)
KRAKOWIACE	(.|#|)krakOwiatsE(.|#|)
KRAKOWIACE	(.|#|)krakowiatsE(.|#|)
KRAKOWIAK	(.|#|)krakOwiak(.|#|)
KRAKOWIAK	(.|#|)krakowiak(.|#|)
KRAKOWIAKI	(.|#|)krakOwiaki(.|#|)
KRAKOWIAKI	(.|#|)krakowiaki(.|#|)
KRAKOWIAKOMA	(.|#|)krakOwiakOma(.|#|)
KRAKOWIAKOMA	(.|#|)krakowiakUma(.|#|)
KRAKOWYMI	(.|#|)krakOw1mi(.|#|)
KRAKOWYMI	(.|#|)krakow1mi(.|#|)
KRAL	(.|#|)kral(.|#|)
KRALIK	(.|#|)kralik(.|#|)
KRALMY	(.|#|)kralm1(.|#|)
KRALMY	(.|#|)kralmU(.|#|)
KRALOJSKI	(.|#|)kralOjski(.|#|)
KRALOJSTWO	(.|#|)kralOjstwO(.|#|)
KRALOMÓDRA	(.|#|)kralOmUdra(.|#|)
KRALOMÓDRY	(.|#|)kralOmUdr1(.|#|)
KRALOWANJE	(.|#|)kralOwan(j|)E(.|#|)
KRALOWANJE	(.|#|)kralowan(j|)E(.|#|)
KRALOWAŚ	(.|#|)kralOwaS(.|#|)
KRALOWAŚ	(.|#|)kralowaS(.|#|)
KRALOWCARJEJU	(.|#|)kralOutsar(j|)eju(.|#|)
KRALOWCARJEJU	(.|#|)kraloutsar(j|)eju(.|#|)
KRALOWCARKA	(.|#|)kralOutsarka(.|#|)
KRALOWCARKA	(.|#|)kraloutsarka(.|#|)
KRALOWCOMA	(.|#|)kralOutsOma(.|#|)
KRALOWCOMA	(.|#|)kraloutsOma(.|#|)
KRALOWKA	(.|#|)kralOuka(.|#|)
KRALOWKA	(.|#|)kralouka(.|#|)
KRALOWNAMI	(.|#|)kralOunami(.|#|)
KRALOWNAMI	(.|#|)kralounami(.|#|)
KRALOWNIŃŠYM	(.|#|)kralOuninS1m(.|#|)
KRALOWNIŃŠYM	(.|#|)kralouninS1m(.|#|)
KRALOWY	(.|#|)kralOw1(.|#|)
KRALOWY	(.|#|)kralow1(.|#|)
KRALOZWĚRNOSĆOW	(.|#|)kralOzwjirnOstSO(.|#|)
KRALOZWĚRNOSĆOW	(.|#|)kralOzwjirnOStSo(.|#|)
KRALUJOŚO	(.|#|)kralujOSO(.|#|)
KRALŚO	(.|#|)kralSO(.|#|)
KRAMLA	(.|#|)kramla(.|#|)
KRAMP	(.|#|)kramp(.|#|)
KRAN	(.|#|)kran(.|#|)
KRATER	(.|#|)kratEr(.|#|)
KRATEROWY	(.|#|)kratErOw1(.|#|)
KRATEROWY	(.|#|)kratErow1(.|#|)
KRAWAL	(.|#|)krawal(.|#|)
KRAWATATY	(.|#|)krawatat1(.|#|)
KRAWC	(.|#|)krauts(.|#|)
KRAWCACH	(.|#|)krautsax(.|#|)
KRAWL	(.|#|)kraul(.|#|)
KRAWLOM	(.|#|)kraulOm(.|#|)
KRAWLOWARKA	(.|#|)kraulOwarka(.|#|)
KRAWLOWARKA	(.|#|)kraulowarka(.|#|)
KRAWLOWAŁA	(.|#|)kraulOwawa(.|#|)
KRAWLOWAŁA	(.|#|)kraulowawa(.|#|)
KRAWLOWAŔ	(.|#|)kraulOwar(.|#|)
KRAWLOWAŔ	(.|#|)kraulowar(.|#|)
KRAWLUJUCEJ	(.|#|)kraulujutsej(.|#|)
KRAZE	(.|#|)krazE(.|#|)
KRAŹE	(.|#|)kraZE(.|#|)
KREATIWNJE	(.|#|)krEatiun(j|)E(.|#|)
KREATIWNJEJ	(.|#|)krEatiun(j|)ej(.|#|)
KREATIWNOSĆ	(.|#|)krEatiunOstS(.|#|)
KREATIWNOSĆ	(.|#|)krEatiunOStS(.|#|)
KREATIWNY	(.|#|)krEatiun1(.|#|)
KREATURA	(.|#|)krEatura(.|#|)
KREATURNOSĆ	(.|#|)krEaturnOstS(.|#|)
KREATURNOSĆ	(.|#|)krEaturnOStS(.|#|)
KREDENCA	(.|#|)krEdEntsa(.|#|)
KREDENCOWAŚ	(.|#|)krEdEntsOwaS(.|#|)
KREDENCOWAŚ	(.|#|)krEdEntsowaS(.|#|)
KREDIT	(.|#|)krEdit(.|#|)
KREDITDAWARKA	(.|#|)krEditdawarka(.|#|)
KREDITDAWAŔ	(.|#|)krEditdawar(.|#|)
KREDITOR	(.|#|)krEditOr(.|#|)
KREDITORKA	(.|#|)krEditOrka(.|#|)
KREDITOROMA	(.|#|)krEditOrOma(.|#|)
KREDITOWNISTWO	(.|#|)krEditOunistwO(.|#|)
KREDITOWNISTWO	(.|#|)krEditounistwO(.|#|)
KREDO	(.|#|)krEdO(.|#|)
KREJC	(.|#|)krejts(.|#|)
KREJCA	(.|#|)krejtsa(.|#|)
KREJS	(.|#|)krejs(.|#|)
KREJZ	(.|#|)krejz(.|#|)
KREJZ	(.|#|)krejs(.|#|)
KREJZOJTE	(.|#|)krejzOjtE(.|#|)
KREJZOMA	(.|#|)krejzOma(.|#|)
KREJŽ	(.|#|)krejS(.|#|)
KREJŽACH	(.|#|)krejZax(.|#|)
KREJŽOJU	(.|#|)krejZOju(.|#|)
KREJŽOM	(.|#|)krejZOm(.|#|)
KREJŽU	(.|#|)krejZu(.|#|)
KREKLAWA	(.|#|)krEklawa(.|#|)
KREKLIŁO	(.|#|)krEkliwO(.|#|)
KREKLIŚ	(.|#|)krEkliS(.|#|)
KREKULA	(.|#|)krEkula(.|#|)
KREKULATYCH	(.|#|)krEkulat1x(.|#|)
KREKULE	(.|#|)krEkulE(.|#|)
KREMA	(.|#|)krEma(.|#|)
KREMATORIUM	(.|#|)krEmatOrium(.|#|)
KREML	(.|#|)krEml(.|#|)
KREMLOJU	(.|#|)krEmlOju(.|#|)
KREMLOMA	(.|#|)krEmlOma(.|#|)
KREMLU	(.|#|)krEmlu(.|#|)
KREMOJTY	(.|#|)krEmOjt1(.|#|)
KREMOJTY	(.|#|)krEmUjt1(.|#|)
KREMOWATY	(.|#|)krEmOwat1(.|#|)
KREMOWATY	(.|#|)krEmowat1(.|#|)
KREMSER	(.|#|)krEmsEr(.|#|)
KREMZARJACH	(.|#|)krEmzarjax(.|#|)
KREMZAŔ	(.|#|)krEmzar(.|#|)
KREOL	(.|#|)krEOl(.|#|)
KREOLA	(.|#|)krEOla(.|#|)
KREOLKA	(.|#|)krEOlka(.|#|)
KREOLOWCE	(.|#|)krEOlOutsE(.|#|)
KREOLOWCE	(.|#|)krEOloutsE(.|#|)
KREOLOWKA	(.|#|)krEOlOuka(.|#|)
KREOLOWKA	(.|#|)krEOlouka(.|#|)
KREOLŠĆINA	(.|#|)krEOlStSina(.|#|)
KREP	(.|#|)krEp(.|#|)
KREPLECEJU	(.|#|)krEplEtseju(.|#|)
KRESLANKA	(.|#|)krEslanka(.|#|)
KRESLARSKEJE	(.|#|)krEslarskejE(.|#|)
KRESLARSKI	(.|#|)krEslarski(.|#|)
KRESLAŔ	(.|#|)krEslar(.|#|)
KRESLAŔSKEJE	(.|#|)krEslarskejE(.|#|)
KRESLENJE	(.|#|)krEslEn(j|)E(.|#|)
KRESLEŃSKI	(.|#|)krEslEjnski(.|#|)
KRESLEŃSKI	(.|#|)krEslejnski(.|#|)
KRESLIŚ	(.|#|)krEsliS(.|#|)
KRETA	(.|#|)krEta(.|#|)
KRETINIZM	(.|#|)krEtinizm(.|#|)
KREZUS	(.|#|)krEzus(.|#|)
KREĚROWAŚ	(.|#|)krEjirOwaS(.|#|)
KREĚROWAŚ	(.|#|)krEjirowaS(.|#|)
KRIC	(.|#|)krits(.|#|)
KRICAŠCE	(.|#|)kritsaStsE(.|#|)
KRICE	(.|#|)kritsE(.|#|)
KRICK	(.|#|)kritsk(.|#|)
KRICKATY	(.|#|)kritskat1(.|#|)
KRICKET	(.|#|)kritskEt(.|#|)
KRICKI	(.|#|)kritski(.|#|)
KRIDA	(.|#|)krida(.|#|)
KRIDOWATY	(.|#|)kridOwat1(.|#|)
KRIDOWATY	(.|#|)kridowat1(.|#|)
KRIKA	(.|#|)krika(.|#|)
KRIL	(.|#|)kril(.|#|)
KRIM	(.|#|)krim(.|#|)
KRIMI	(.|#|)krimi(.|#|)
KRIMINALISTIKA	(.|#|)kriminalistika(.|#|)
KRIMINALISTKA	(.|#|)kriminalistka(.|#|)
KRIMINALITA	(.|#|)kriminalita(.|#|)
KRIMINALIZĚROWAŚ	(.|#|)kriminalizjirOwaS(.|#|)
KRIMINALIZĚROWAŚ	(.|#|)kriminalizjirowaS(.|#|)
KRIMINALKOMISARJEJU	(.|#|)kriminalkOmisar(j|)eju(.|#|)
KRIMINALKOMISARJEJU	(.|#|)kriminalkUmisar(j|)eju(.|#|)
KRIMINALKOMISARKA	(.|#|)kriminalkOmisarka(.|#|)
KRIMINALKOMISARKA	(.|#|)kriminalkUmisarka(.|#|)
KRIMINALNOSĆ	(.|#|)kriminalnOstS(.|#|)
KRIMINALNOSĆ	(.|#|)kriminalnOStS(.|#|)
KRIMINELNA	(.|#|)kriminElna(.|#|)
KRIMINELNEJE	(.|#|)kriminElnejE(.|#|)
KRIMINELNY	(.|#|)kriminEln1(.|#|)
KRIMINOLOGOWKA	(.|#|)kriminOlOgOuka(.|#|)
KRIMINOLOGOWKA	(.|#|)kriminOlOgouka(.|#|)
KRIMJERŠ	(.|#|)krimjErS(.|#|)
KRINGELIŠCE	(.|#|)kringEliStsE(.|#|)
KRINGELIŠK	(.|#|)kringEliSk(.|#|)
KRINGELMY	(.|#|)kringElm1(.|#|)
KRINGELMY	(.|#|)kringElmU(.|#|)
KRINGLACHMY	(.|#|)kringlaxm1(.|#|)
KRINGLACHMY	(.|#|)kringlaxmU(.|#|)
KRINGLIŚ	(.|#|)kringliS(.|#|)
KRIPO	(.|#|)kripO(.|#|)
KRISCHNA	(.|#|)krisxna(.|#|)
KRISHNA	(.|#|)krisna(.|#|)
KRIST	(.|#|)krist(.|#|)
KRISTAL	(.|#|)kristal(.|#|)
KRISTALINISKI	(.|#|)kristaliniski(.|#|)
KRISTALISKI	(.|#|)kristaliski(.|#|)
KRISTALIZĚROWAŚ	(.|#|)kristalizjirOwaS(.|#|)
KRISTALIZĚROWAŚ	(.|#|)kristalizjirowaS(.|#|)
KRISTALJASNY	(.|#|)kristaljasn1(.|#|)
KRISTALNY	(.|#|)kristaln1(.|#|)
KRISTALOGRAFIJOMA	(.|#|)kristalOgrafijOma(.|#|)
KRISTALOJTY	(.|#|)kristalOjt1(.|#|)
KRISTALOWY	(.|#|)kristalOw1(.|#|)
KRISTALOWY	(.|#|)kristalow1(.|#|)
KRITERIJ	(.|#|)kritEri(.|#|)
KRITIKA	(.|#|)kritika(.|#|)
KRITIKASTERY	(.|#|)kritikastEr1(.|#|)
KRITIZĚRKOCĆO	(.|#|)kritizjirkOtstSO(.|#|)
KRITIZĚROWANJOMA	(.|#|)kritizjirOwanjOma(.|#|)
KRITIZĚROWANJOMA	(.|#|)kritizjirowanjOma(.|#|)
KRITIZĚROWAŚ	(.|#|)kritizjirOwaS(.|#|)
KRITIZĚROWAŚ	(.|#|)kritizjirowaS(.|#|)
KRITŚA	(.|#|)kritSa(.|#|)
KRITŚU	(.|#|)kritSu(.|#|)
KRIWUSKOW	(.|#|)kriwuskO(.|#|)
KRIWUSKOW	(.|#|)kriwusko(.|#|)
KRIZA	(.|#|)kriza(.|#|)
KRIZACH	(.|#|)krizax(.|#|)
KRIZY	(.|#|)kriz1(.|#|)
KRIŠ	(.|#|)kriS(.|#|)
KRIŠNIK	(.|#|)kriSnik(.|#|)
KRIŹE	(.|#|)kriZE(.|#|)
KRJA	(.|#|)krja(.|#|)
KRJACH	(.|#|)krjax(.|#|)
KRJACHYNOWU	(.|#|)krjax1nOwu(.|#|)
KRJACHYNOWU	(.|#|)krjax1nowu(.|#|)
KRJACHYNU	(.|#|)krjax1nu(.|#|)
KRJACHYNY	(.|#|)krjax1n1(.|#|)
KRJAK	(.|#|)krjak(.|#|)
KRJAKOTANA	(.|#|)krjakOtana(.|#|)
KRJAKOTAŚ	(.|#|)krjakOtaS(.|#|)
KRJAM	(.|#|)krjam(.|#|)
KRJAŠENJOMA	(.|#|)krjaSEnjOma(.|#|)
KRJEJSKEGO	(.|#|)kr(j|)ejskEgO(.|#|)
KRJOM	(.|#|)krjOm(.|#|)
KRJOW	(.|#|)krjO(.|#|)
KRJOW	(.|#|)krjo(.|#|)
KRJU	(.|#|)krju(.|#|)
KRJUDOWAŁA	(.|#|)krjudOwawa(.|#|)
KRJUDOWAŁA	(.|#|)krjudowawa(.|#|)
KRJUDUJMY	(.|#|)krjudujm1(.|#|)
KRJUDUJMY	(.|#|)krjudujmU(.|#|)
KRJUZ	(.|#|)krjuz(.|#|)
KRJUZ	(.|#|)krjus(.|#|)
KRJUZA	(.|#|)krjuza(.|#|)
KRJUZATY	(.|#|)krjuzat1(.|#|)
KRJUZAŠO	(.|#|)krjuzaSO(.|#|)
KRJUZCE	(.|#|)krjuztsE(.|#|)
KRJUZECEJE	(.|#|)krjuzEtsejE(.|#|)
KRJUZKA	(.|#|)krjuska(.|#|)
KRJUZKATOSĆOMA	(.|#|)krjuskatOstSOma(.|#|)
KRJUZKATOSĆOMA	(.|#|)krjuskatOStSOma(.|#|)
KRJUZOWE	(.|#|)krjuzOwE(.|#|)
KRJUZOWE	(.|#|)krjuzowE(.|#|)
KRJUZU	(.|#|)krjuzu(.|#|)
KRJUZYMY	(.|#|)krjuz1m1(.|#|)
KRJUZYMY	(.|#|)krjuz1mU(.|#|)
